id,label,properties
2218,person,name,"Zwaag, Liuwe van der"
2861,person,name,"Boer - van der Berg, Rinskje de"
1072,person,name,"Broek, A.C. v.d."
2394,person,name,"Bergsma, Harm"
581,person,name,Lars Nielsen
3822,person,name,"Engels, Johannes "
198,person,name,Giese
4143,person,name,"de Visser, Jac."
3946,person,name,De Vries - Terneuzen
1582,person,name,"Schaap, J.F.C."
1789,person,name,"Boot, W.G."
3354,person,name,"Weusten, Hubert"
2600,person,name,"Theunissen, Ludo"
248,person,name,Kristian Wegner
2307,person,name,"Bekkema, Jelle (bijnaam: Greate Jelle, ook wel: Biesterveld, Jelle Biestervelle)"
1341,person,name,"Vromen, W.J."
3308,person,name,Kees Biesbroek
3294,person,name,F. de Bekker
682,person,name,Frøken Elise Lindberg
1100,person,name,"Pol, Jac. v.d."
1313,person,name,"v.d. Dussen, G."
2373,person,name,"Vries, Eelke de"
3812,person,name,"Gielen, Maria Catharina"
3780,person,name,"Gruyter, C. de"
1966,person,name,"Veenstra, Popke"
4219,person,name,"Zessen, Pauw van"
1033,person,name,"Rooijens, W."
3952,person,name,"Hof, Arie van"
1262,person,name,"van Eck, A."
150,person,name,Schröder
1356,person,name,"Bulten, W.H."
1422,person,name,H. van Westreenen
2898,person,name,"Jong, Popke de"
973,person,name,"Viveen, Mevrouw"
892,person,name,"Kobus - Van der Zee, Geeske"
1942,person,name,"Taekema, Miente"
860,person,name,Ottesen  Louise
2438,person,name,"Dijkstra, Atse"
3714,person,name,"Alofs-de Haan, E."
3195,person,name,"Peeters-Felter, Vrouw"
402,person,name,Friskolelærer Jørgen Hansen
3749,person,name,"Vliet, Mevr. van"
2422,person,name,"Vaatstra,  Tije"
3730,person,name,"Kregting, W."
3893,person,name,"Nijssen, Gerardus Josephus Hubertus"
661,person,name,Fru Mortensen
2336,person,name,"Kammen, Jetze van"
2866,person,name,"Bekkema - Petrusma, Sijke"
1333,person,name,"Passchier, J."
1938,person,name,"Bonnema, Arjen"
1737,person,name,"Halert, A. v.d."
4134,person,name,"de Jong, L."
807,person,name,E  Trier
1405,person,name,J. v.d. Smissen
1373,person,name,J. M. van Wijnen
1726,person,name,"Lent, Willem van"
3978,person,name,"Roon, P. van"
2413,person,name,"Nieuwenhuis - van der Tuin, Anna [Antje]"
2585,person,name,"Notermans, Jef"
2208,person,name,"Westra - v.d. Veen, Wytske"
1593,person,name,"Fullemans, A.W."
1233,person,name,R.M. Veldhuizen
1282,person,name,"v.d. Vlierd, F."
3703,person,name,"Peters, Cathrina"
1382,person,name,Mevrouw wed. Van Wiggen
2425,person,name,"Kootstra - v.d. Veen, Iebeltsje"
1306,person,name,"Verrips, H."
3795,person,name,"Bos, A."
