id,label,properties
7359,person,name,Moth  Hans Julius de la
2852,person,name,Hans Kristian Pedersen
4033,person,name,H  Hansen
4338,person,name,Elev Martinus Povlsen
2932,person,name,Peder Simonsen
2580,person,name,Kirsten Marie Pedersdatter
7762,person,name,Ravn  Marie
5728,person,name,Peder Hovgård
8344,person,name,Jensen  Jens Severin Karl
5982,person,name,Student John Johnsson
5273,person,name,Jens Mathisen
1825,person,name,Kristen Frederiksen
2149,person,name,Hans Henrik Sørensen
8057,person,name,Mortensen  Søren
4471,person,name,Dorte Johanne Kristensdatter
6218,person,name,Søren Ditlevsen
6749,person,name,Niels Kjær
2354,person,name,Karen Marie Jensdatter
6945,person,name,Hansen  Jørgen
1182,person,name,Peder Kristensen
6525,person,name,Niels Kristensen Tønning
6975,person,name,Peder Stampe
6222,person,name,Lærer A Bruun-Albrektsen
3260,person,name,C  V  T  E  Muller
1750,person,name,Jens Begs enke
7014,person,name,J  D  Jensen
1981,person,name,Søren Jørgensen
7976,person,name,Bæk  Ellen Kirstine Kristensdatter
1583,person,name,Karl N  Timmermann
3485,person,name,N  P  Christensen
8409,person,name,Maren Kristensen
4089,person,name,Ane Margrete Jensdatter
4808,person,name,Jokum Kristensen
2725,person,name,Niels Vig
3297,person,name,Niels Josef
6542,person,name,Jørgen Andreas Lavrsen
6752,person,name,Lærer S P Rasmussen
8149,person,name,Karlsbjærg  Rebekka
6022,person,name,Marie Jonsen
2976,person,name,Rasmus Hansen
621,person,name,Elev Lars Rasmussen
2739,person,name,Th Leth
4761,person,name,Lavst Sørensen
3672,person,name,Cand theol C F Grove
2561,person,name,Kristian Larsen
8437,person,name,Hansen  Th Kr
4818,person,name,Professor H V Rasmussen
1128,person,name,J  P  Olesen
7724,person,name,Andersen  Inger Marie
3851,person,name,Bødker Andreas Thøgersen Grønborg
3465,person,name,Lærer Thomas Jensen
4776,person,name,Lars Krist  Nielsen
3500,person,name,Lærer Peter L Juhl
3717,person,name,Cand mag Gotfred Rode
4901,person,name,Forpagter Peder Jørgensen
1995,person,name,A Olesen
2134,person,name,Jens Peter Pedersen
8275,person,name,Petersen  Carl
5827,person,name,Jørgen Jensen
1686,person,name,Johanne Marie Kristensdatter
3235,person,name,C  A  Tyregod
2769,person,name,A  C  Nielsen
5598,person,name,Lavrs Knudsen
4430,person,name,E  Trier
6564,person,name,Sigurd J Kristensen
7389,person,name,Zerlang  Joh
7114,person,name,J  Kr  Nielsen
7895,person,name,Abildgaard  Kristen
4357,person,name,Kristen Jensen
1762,person,name,Elev Niels Larsen
4773,person,name,Søren Kristian Jakobsen
6508,person,name,Kirsten Jensdatter
5040,person,name,Mette Sofie Larsen
3751,person,name,Frøken Elise Lindberg
6456,person,name,Lars Jensen
7032,person,name,Lærer Johannes Jensen
7880,person,name,Hansen  Sine
4715,person,name,Niels Lisbjærg
1812,person,name,Ungkarl J Jensen
1663,person,name,Hansen  Peder
3782,person,name,P  K  S  Overgård
8161,person,name,Pedersen  Jeppe
1427,person,name,Jens Mark
1990,person,name,J  P  Kornerup
2021,person,name,Niels Uglsø
5424,person,name,Peder Christensen True
7054,person,name,Lovise Pedersen
1169,person,name,Jeppe Lavrsen
1816,person,name,Henrik Jørgensen
4407,person,name,E  Thomsen
3474,person,name,Kr  J  Brahms
3917,person,name,Ole Sig
7720,person,name,Hedemann  C C
7832,person,name,Jensen  Mogens
3648,person,name,P  K  Thorsen
6961,person,name,Povl Kristian Andersen
4000,person,name,Peder Jensen Smed
2407,person,name,Kristen Pedersen
7275,person,name,Peder Mikkelsen
2243,person,name,Pastor dr phil K F Wiborg
6107,person,name,Marie Kirstine Birk
1853,person,name,Mikkel Jensen
3459,person,name,Chr Rasmussen
8278,person,name,Jensen  Ellen Margrete
7842,person,name,Kristiansen  Ane Margrete
1315,person,name,Mikkel Hansen og Jens Bæk
3941,person,name,O  Chr  Boye
4144,person,name,Knud Peter Hohn
8281,person,name,Kirsten Marie Jensen Hus
4797,person,name,Hans Pedersen Fladbirk
3199,person,name,Mortensen  Kristen
1680,person,name,P  Christensen
2683,person,name,Ane Kirstine Refsgård
5138,person,name,Rasmus Rosendal
5847,person,name,Eriksdatter  Mette Marie
2199,person,name,Rasmus Kristensen
2821,person,name,Frøken Emilie Mariboe
6812,person,name,Iversen  Martin
8009,person,name,Johansens  Hans
4344,person,name,Kristen Jensens kone
3118,person,name,Jens Korregård
966,person,name,Kirstine Marie Ravnsgård
1727,person,name,Frøken Sofie Lund
7284,person,name,J  Andersen
5805,person,name,Oline Pedersen
5355,person,name,Jørgen Bæk
4593,person,name,Lærer T Kristensen
8051,person,name,Johansen  Lars
6620,person,name,H  Chr  Hansen
3621,person,name,J  N  L  Schiørring
3012,person,name,Redaktør H Jensen
4543,person,name,Søren Tinds kone
8082,person,name,Rasmus Holgersen
2209,person,name,Kristen Bæk
4621,person,name,Ole Kristensen
8316,person,name,Abrahamsen  Fru
1326,person,name,Karen Marie Rasmussen
7581,person,name,Laurids Prip
2045,person,name,Pastor Constantin Hansen
939,person,name,Anders Jørgensen Sams
6240,person,name,P  K  Munch
3776,person,name,Niels Sørensen
7382,person,name,Chr  V  A  Simonsen
1209,person,name,Diderik Johansen
5525,person,name,Peter Kousgård
4416,person,name,Henrik Pedersen
1842,person,name,Karen Frederiksdatter
3537,person,name,P  Pedersen
5151,person,name,Thomas Kristensen Norge
4191,person,name,Brok  Karen Jørgensdatter
4331,person,name,Lærer Nørregård
5384,person,name,Martin Smidt
7482,person,name,Hansen  Constantin
