id,label,properties
17776,date,datetime,1972-10-23
21409,date,datetime,1968-06-22
24832,date,datetime,1902-11-01
25690,date,datetime,1910-12-22
26024,date,datetime,1925-07-18
26249,date,datetime,1910-12-28
12948,date,datetime,1967-04-09
12658,date,datetime,1966-11-30
10151,date,datetime,1963-10-28
13682,date,datetime,1968-02-23
20793,date,datetime,1966-05-14
26173,date,datetime,1934-06-05
26406,date,datetime,1923-03-07
16546,date,datetime,1971-08-07
23274,date,datetime,1962-11-20
26478,date,datetime,1924-08-03
23849,date,datetime,1962-06-03
14016,date,datetime,1968-04-10
15405,date,datetime,1969-07-21
14282,date,datetime,1968-09-05
13203,date,datetime,1967-06-19
16002,date,datetime,1974-08-19
13119,date,datetime,1967-06-14
14152,date,datetime,1968-06-14
20440,date,datetime,1965-08-21
15661,date,datetime,1970-01-29
23178,date,datetime,1967-11-08
26121,date,datetime,1935-05-26
21545,date,datetime,1933-01-01
13517,date,datetime,1949-01-01
26301,date,datetime,1937-05-23
13251,date,datetime,1967-07-23
12152,date,datetime,1967-03-10
15651,date,datetime,1970-01-15
9783,date,datetime,1963-09-23
12310,date,datetime,1966-08-15
14775,date,datetime,1969-01-17
20465,date,datetime,1965-09-04
17900,date,datetime,1973-03-13
24953,date,datetime,1881-04-28
14643,date,datetime,1968-11-03
20275,date,datetime,1962-11-22
13172,date,datetime,1967-07-16
14830,date,datetime,1969-01-13
15665,date,datetime,1970-02-01
19283,date,datetime,1967-02-16
14177,date,datetime,1968-06-20
22747,date,datetime,2010-08-28
24610,date,datetime,1963-08-08
11194,date,datetime,1975-07-20
26047,date,datetime,1911-07-14
13688,date,datetime,1968-02-15
14976,date,datetime,1969-01-19
18224,date,datetime,1974-03-03
26557,date,datetime,1926-10-11
14540,date,datetime,1968-11-18
12145,date,datetime,1967-01-07
26304,date,datetime,1937-06-20
23378,date,datetime,1962-12-05
23806,date,datetime,1962-05-04
9266,date,datetime,1966-03-16
13074,date,datetime,1967-05-26
15324,date,datetime,1969-07-02
24502,date,datetime,1963-07-29
9860,date,datetime,1963-10-05
13673,date,datetime,1968-02-10
20306,date,datetime,2006-10-20
20695,date,datetime,1964-08-26
21477,date,datetime,1962-09-03
26320,date,datetime,1912-04-07
22022,date,datetime,1904-07-01
27115,date,datetime,1914-04-11
20499,date,datetime,2007-01-08
24606,date,datetime,1963-08-10
26817,date,datetime,1917-09-16
17662,date,datetime,1913-02-01
26414,date,datetime,1935-05-30
22679,date,datetime,1965-02-22
9800,date,datetime,1963-09-25
21540,date,datetime,2007-07-05
13350,date,datetime,1968-08-30
20169,date,datetime,1965-06-18
27004,date,datetime,1919-09-17
15745,date,datetime,1974-05-02
16443,date,datetime,1970-05-20
25668,date,datetime,1927-07-23
14723,date,datetime,1968-12-08
24096,date,datetime,1962-12-31
22861,date,datetime,1883-01-01
12955,date,datetime,1967-04-13
24384,date,datetime,1907-01-01
10982,date,datetime,1975-04-01
4592,date,datetime,1894-01-01
25592,date,datetime,1929-10-01
24061,date,datetime,1962-01-03
21027,date,datetime,1966-09-28
14348,date,datetime,1968-09-12
16669,date,datetime,1972-10-05
14209,date,datetime,1968-07-14
21182,date,datetime,2007-04-17
9945,date,datetime,1963-10-19
14428,date,datetime,1968-04-03
21878,date,datetime,1962-11-05
11838,date,datetime,1954-08-08
15328,date,datetime,1969-06-25
10517,date,datetime,1903-07-29
12331,date,datetime,1966-08-21
20257,date,datetime,1963-04-30
15437,date,datetime,1969-07-22
16897,date,datetime,1898-01-01
23450,date,datetime,1962-12-12
20646,date,datetime,1963-06-29
21295,date,datetime,1946-01-01
26055,date,datetime,1928-07-05
17610,date,datetime,1947-02-01
10972,date,datetime,1974-11-01
20774,date,datetime,1966-05-28
15491,date,datetime,1969-09-30
17053,date,datetime,1965-01-01
12112,date,datetime,1966-06-03
19050,date,datetime,2004-09-01
25412,date,datetime,1917-10-03
13943,date,datetime,1948-01-01
14764,date,datetime,1969-01-10
16486,date,datetime,1971-06-25
20279,date,datetime,1962-11-24
16914,date,datetime,1903-01-01
26434,date,datetime,1925-09-06
14521,date,datetime,1968-11-01
9226,date,datetime,1966-02-27
20704,date,datetime,1965-03-02
13715,date,datetime,1968-03-20
14786,date,datetime,1969-01-14
23875,date,datetime,2008-12-03
26143,date,datetime,1914-04-10
26507,date,datetime,1934-06-11
26209,date,datetime,1927-07-14
23497,date,datetime,1962-12-14
26137,date,datetime,1926-10-07
24054,date,datetime,1963-01-02
11964,date,datetime,1966-04-14
12707,date,datetime,1966-12-30
16921,date,datetime,1901-05-15
16607,date,datetime,1971-10-15
14135,date,datetime,1968-06-13
26524,date,datetime,1929-09-07
9156,date,datetime,1922-01-01
12608,date,datetime,1966-11-13
14130,date,datetime,1968-01-03
22272,date,datetime,2008-06-26
26263,date,datetime,1929-05-18
23426,date,datetime,1962-12-06
13220,date,datetime,1967-06-21
7687,date,datetime,1934-01-01
12222,date,datetime,1966-07-28
11502,date,datetime,1899-04-07
10628,date,datetime,1937-01-01
27111,date,datetime,1930-07-07
23295,date,datetime,1962-11-27
22745,date,datetime,2010-08-29
10647,date,datetime,1972-01-01
10397,date,datetime,1963-12-18
12677,date,datetime,1966-12-19
16509,date,datetime,1971-06-24
10504,date,datetime,1963-12-23
13442,date,datetime,1967-11-21
16778,date,datetime,1894-03-01
16420,date,datetime,1970-03-17
14425,date,datetime,1968-09-18
9993,date,datetime,1954-07-16
21317,date,datetime,1970-01-23
24623,date,datetime,1963-08-12
12584,date,datetime,1966-10-26
9847,date,datetime,1963-10-03
20850,date,datetime,1966-06-10
26581,date,datetime,1928-07-25
21064,date,datetime,1965-05-22
22341,date,datetime,2009-04-15
20216,date,datetime,1962-11-14
24035,date,datetime,1962-12-28
15956,date,datetime,1974-08-06
10638,date,datetime,1899-09-21
18062,date,datetime,1973-05-26
12870,date,datetime,1967-02-03
13638,date,datetime,1968-01-20
20252,date,datetime,1962-03-25
10890,date,datetime,1972-11-01
12195,date,datetime,1966-07-07
21977,date,datetime,2008-01-01
26154,date,datetime,1911-05-14
12118,date,datetime,1966-06-08
13478,date,datetime,1951-01-01
24807,date,datetime,1901-10-24
11905,date,datetime,1954-04-10
12433,date,datetime,1967-10-07
14446,date,datetime,1968-10-10
13744,date,datetime,1944-01-01
19266,date,datetime,1967-02-12
23336,date,datetime,1962-12-03
16256,date,datetime,1979-09-20
24227,date,datetime,1963-01-17
16041,date,datetime,1974-08-23
18992,date,datetime,2004-06-21
18144,date,datetime,1973-09-21
25659,date,datetime,1912-10-04
13664,date,datetime,1968-02-16
15153,date,datetime,1969-05-04
21245,date,datetime,2006-11-24
12789,date,datetime,1967-01-25
23881,date,datetime,1882-02-05
26885,date,datetime,1928-12-30
26295,date,datetime,1934-07-28
12302,date,datetime,1966-08-14
13432,date,datetime,1967-10-10
16598,date,datetime,1971-10-06
10932,date,datetime,1974-07-01
15285,date,datetime,1969-05-18
17773,date,datetime,1972-10-15
18097,date,datetime,1973-06-25
12728,date,datetime,1967-01-10
16210,date,datetime,1979-08-10
10904,date,datetime,1973-06-01
13284,date,datetime,1967-07-27
24073,date,datetime,1963-01-04
22138,date,datetime,1963-04-08
14654,date,datetime,1968-12-06
21505,date,datetime,1962-05-25
21404,date,datetime,1968-06-15
15057,date,datetime,1969-04-02
14190,date,datetime,1968-07-10
17961,date,datetime,1973-04-06
9572,date,datetime,1963-08-26
23725,date,datetime,1962-05-09
9733,date,datetime,1963-09-14
21260,date,datetime,2007-06-21
20943,date,datetime,1597-01-01
22358,date,datetime,2010-08-18
24410,date,datetime,1963-02-01
13227,date,datetime,1967-07-24
12603,date,datetime,1966-11-10
15217,date,datetime,1969-04-20
22730,date,datetime,2011-04-21
24435,date,datetime,1963-02-22
20674,date,datetime,1957-10-21
20766,date,datetime,2007-02-08
16265,date,datetime,1979-09-02
9825,date,datetime,1963-10-02
13601,date,datetime,1968-01-06
22377,date,datetime,1970-05-07
20824,date,datetime,1564-01-01
26185,date,datetime,1912-04-08
9492,date,datetime,1981-01-01
16690,date,datetime,1971-10-13
16710,date,datetime,1972-09-22
21485,date,datetime,1962-05-01
26349,date,datetime,1922-09-27
15224,date,datetime,1969-05-11
12197,date,datetime,1966-07-10
22684,date,datetime,1965-03-17
21210,date,datetime,2006-11-30
21372,date,datetime,1967-05-06
16647,date,datetime,1972-09-29
16860,date,datetime,1886-01-01
25894,date,datetime,1912-09-15
10106,date,datetime,1963-11-09
18117,date,datetime,1973-06-27
16149,date,datetime,1977-10-18
15354,date,datetime,1969-07-05
14671,date,datetime,1968-11-20
35,date,datetime,1930-07-09
21911,date,datetime,2007-11-13
24018,date,datetime,1975-09-19
25743,date,datetime,1912-12-11
15432,date,datetime,1969-08-08
15917,date,datetime,1974-08-03
14932,date,datetime,1969-02-20
16770,date,datetime,1902-03-26
26917,date,datetime,1643-01-01
9470,date,datetime,1963-08-23
18299,date,datetime,1974-03-16
14314,date,datetime,1968-08-18
24639,date,datetime,1963-07-01
19716,date,datetime,1962-01-01
21708,date,datetime,1962-10-24
24300,date,datetime,1963-01-21
16310,date,datetime,1979-10-20
26169,date,datetime,1931-07-19
22072,date,datetime,1963-03-12
25917,date,datetime,1923-03-10
